latitude,longitude,altitude,speed,heading,battery_level,drone_id,flight_time,signal_strength,temperature,humidity,pressure,wind_speed,wind_direction,gps_accuracy,battery_status,charging_action,battery_bin,flight_time_bin,risk_score,operation_risk,is_high_risk,maintenance_action,recommendation,ext_drone_id,application,drone_size,drone_model,manufacturer,propeller_count,max_carry_weight_kg,actual_carry_weight_kg,payload_type,payload_description,supp_altitude_m,supp_flight_duration_min,distance_flown_km,operator_id,flight_date,supp_battery_remaining_pct,supp_gps_accuracy_m,supp_wind_speed_mps,obstacles_encountered,flight_status,regulatory_approval_id,operation_notes,payload_load_ratio,combined_maintenance_priority,combined_decision_reason
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,30.0,10.0,,15.0,Drone_Custom_001,8.0,85.0,22.0,50.0,1010.0,5.0,,2.0,Yếu,,,,,Medium,,Monitor,Charge immediately before continuing operation,,,,,,,,,,,,,,,,,,,,Cấm Bay,,,,,
,,40.0,12.0,,75.0,Drone_Custom_001,30.0,88.0,48.0,30.0,1008.0,4.0,,1.8,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Cấm Bay,,,,,
,,50.0,15.0,,95.0,Drone_Custom_001,15.0,98.0,25.0,40.0,1012.0,3.0,,1.2,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,50.0,15.0,,95.0,Drone_Custom_001,15.0,98.0,25.0,40.0,1012.0,3.0,,2.1,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,50.0,15.0,,95.0,Drone_Custom_001,15.0,98.0,25.0,47.0,1012.0,3.0,,2.1,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,50.0,15.0,,90.0,Drone_Custom_001,15.0,98.0,25.0,47.0,1012.0,3.0,,2.1,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,50.0,15.0,,9.0,Drone_Custom_001,15.0,98.0,25.0,47.0,1012.0,3.0,,2.1,Yếu,,,,,Medium,,Monitor,Charge immediately before continuing operation,,,,,,,,,,,,,,,,,,,,Cấm Bay,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,9.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Yếu,,,,,Medium,,Monitor,Charge immediately before continuing operation,,,,,,,,,,,,,,,,,,,,Cấm Bay,,,,,
,,250.0,50.0,,60.0,Drone_Custom_001,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,120.0,25.0,,60.0,Drone_1,20.0,60.0,18.0,70.0,995.0,38.0,,6.5,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Cấm Bay,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,20.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,20.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,20.0,50.0,1000.0,15.0,,5.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Đủ Điều Kiện Bay,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,20.0,50.0,1000.0,15.0,,10.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Bay Kèm Giám Sát,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,20.0,50.0,1000.0,15.0,,10.0,Tốt,,,,,Low,,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,,,,,,Bay Kèm Giám Sát,,,,,
,,250.0,50.0,,1.0,Drone_1,30.0,70.0,20.0,50.0,1000.0,15.0,,10.0,Yếu,,,,,Medium,,Monitor,Charge immediately before continuing operation,,,,,,,,,,,,,,,,,,,,Cấm Bay,,,,,
,,250.0,50.0,,60.0,Drone_1,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Tốt,,,,3.6,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,2026-06-16 00:41:51,,,,,Đủ Điều Kiện Bay,,,,,Drone đủ điều kiện vận hành bình thường.
,,250.0,50.0,,1.0,Drone_1,30.0,70.0,25.0,50.0,1000.0,15.0,,5.0,Yếu,,,,6.0,Medium,0.0,Monitor,Charge immediately before continuing operation,,,,,,,,,,,,,,,2026-06-16 00:41:56,,,,,Cấm Bay,,,,,Điều kiện nguy hiểm: pin dưới 20%.
,,120.0,25.0,,80.0,Drone_10,20.0,60.0,18.0,70.0,995.0,38.0,,6.5,Tốt,,,,4.2,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,,,,,,,,,,,,,,2026-07-03 14:06:54,,,,,Cấm Bay,,,,,Điều kiện nguy hiểm: gió trên 35 m/s.
21.02835,105.85498,81.59551509304528,15.83220433337415,88.4,91.14698974641804,Drone_1,3.0,95.1578865095074,28.19690934106803,62.25000309673012,1009.598643758114,7.478698072754885,,1.544910288783569,Tốt,,,,1.5,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,2.16,OP_LIVE,2026-07-13 19:18:36,,,,,Bay Kèm Giám Sát,,LIVE LIVE_20260713_191825 tick 1 — 👁️ BAY TIẾP — GIÁM SÁT,,,Cần theo dõi sát: tốc độ trên 13.
21.029222,105.88239,81.88103187291624,16.15471542985767,88.0,86.84336960168389,Drone_1,6.0,93.26188824958058,28.88613626850145,60.67746326213359,1010.799854612716,6.021615092666373,,2.00613244804655,Tốt,,,,1.6,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,5.01,OP_LIVE,2026-07-13 19:18:46,,,,,Cấm Bay,,LIVE LIVE_20260713_191825 tick 2 — 🛑 HẠ CÁNH NGAY,,,Điều kiện nguy hiểm: vượt tốc độ tối đa 16 m/s theo spec.
21.040856,105.818822,76.11643568365606,11.31868571033452,312.3,91.23061356483338,Drone_1,3.0,97.43508157568606,27.637647679956057,60.44429183333908,1009.833001450727,4.837677670472305,,2.1157132743232485,Tốt,,,,1.2,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,2.16,OP_LIVE,2026-07-13 19:22:23,,,,,Đủ Điều Kiện Bay,,LIVE LIVE_20260713_192212 tick 1 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.056866,105.80932,77.28687471247777,10.260505478329796,331.0,87.27227494417862,Drone_1,6.0,90.99935476394076,27.579196354989765,62.48498018443439,1009.5690570795114,5.652434853001815,,1.6213379467555384,Tốt,,,,1.6,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,4.2,OP_LIVE,2026-07-13 19:22:33,,,,,Đủ Điều Kiện Bay,,LIVE LIVE_20260713_192212 tick 2 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.068784,105.796952,81.52386296859466,11.042808876288488,315.9,83.63834282681195,Drone_1,9.0,90.12391041987767,27.5714512094776,62.86867037520117,1009.640035577874,6.082745208781059,,1.8219357083557333,Tốt,,,,1.8,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,6.04,OP_LIVE,2026-07-13 19:22:43,,,,,Đủ Điều Kiện Bay,,LIVE LIVE_20260713_192212 tick 3 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.084051,105.78703,77.12601771375755,10.419680972737474,328.8,80.01404636948857,Drone_1,12.0,89.40833666078571,27.18413572429428,63.37767649509544,1010.3416759472738,5.081261915368408,,1.714309301337659,Tốt,,,,1.9,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,8.03,OP_LIVE,2026-07-13 19:22:53,,,,,Đủ Điều Kiện Bay,,LIVE LIVE_20260713_192212 tick 4 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.098695,105.778101,79.25105551867871,10.959582050049269,330.4,76.22767365856834,Drone_1,15.0,90.16254706727904,27.49426107244073,61.07914172693642,1010.2818220774388,5.07383733925341,,1.9438881682342268,Tốt,,,,2.0,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,9.91,OP_LIVE,2026-07-13 19:23:03,,,,,Đủ Điều Kiện Bay,,LIVE LIVE_20260713_192212 tick 5 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.113073,105.766996,79.61972498516576,10.744460499873442,324.2,72.34647272503567,Drone_1,18.0,92.9518263542434,27.938325166855385,59.639604636926734,1010.3785619284696,5.573244145984448,,1.067471370759877,Tốt,,,,2.1,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,11.88,OP_LIVE,2026-07-13 19:23:13,,,,,Đủ Điều Kiện Bay,,LIVE LIVE_20260713_192212 tick 6 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.125927,105.754467,81.83697871699638,10.5374800166409,317.7,67.40341008212786,Drone_1,21.0,92.08467950413068,27.38309252694235,59.60014108357116,1010.4238878691956,15.144516331478574,,2.573611367969133,Tốt,,,,2.9,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,13.81,OP_LIVE,2026-07-13 19:23:23,,,,,Cấm Bay,,LIVE LIVE_20260713_192212 tick 7 — 🛑 HẠ CÁNH NGAY | Sự cố: Gió giật +12 m/s,,,Điều kiện nguy hiểm: gió trên 10.7 m/s (sức gió chịu tối đa theo spec).
21.024041,105.813806,78.07761206442201,11.938846821057052,258.8,90.88247555176729,Drone_1,3.0,89.35764313969949,28.182023118420663,59.4916916824152,1010.532683912942,5.050953050259864,,2.0783583945582333,Tốt,,,,1.4,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,2.16,OP_LIVE,2026-07-13 19:28:20,,,,,Đủ Điều Kiện Bay,,LIVE_20260713_192809 tick 1 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.027998,105.793564,81.19389883655309,11.980926636182254,281.8,87.32879546759088,Drone_1,6.0,87.429976600208,27.26660545344933,58.049210797546266,1011.6794208292176,3.5344761880517126,,1.268831955885307,Tốt,,,,1.5,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,4.31,OP_LIVE,2026-07-13 19:28:30,,,,,Đủ Điều Kiện Bay,,LIVE_20260713_192809 tick 2 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.026513,105.77287,81.42799630132795,11.23286146938498,265.6,83.43235026806343,Drone_1,9.0,86.900394492169,26.85406986103428,58.320527820743415,1011.8218158755226,5.580388116682317,,1.7065035886170954,Tốt,,,,1.8,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,6.47,OP_LIVE,2026-07-13 19:28:40,,,,,Đủ Điều Kiện Bay,,LIVE_20260713_192809 tick 3 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.026005,105.753419,85.74829528544753,10.698468119256628,268.4,79.27257976965657,Drone_1,12.0,81.84080077126673,26.846813889411592,59.12542226261505,1012.0758234687704,5.502386994707396,,1.893420550082757,Tốt,,,,2.1,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,8.49,OP_LIVE,2026-07-13 19:28:50,,,,,Đủ Điều Kiện Bay,,LIVE_20260713_192809 tick 4 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
21.031011,105.735679,80.60870425447382,10.450699900736616,286.8,75.46236047801831,Drone_1,15.0,86.29077689414234,27.47843121305093,56.50449521201048,1012.6312887723236,5.171723349762832,,1.6008739767240487,Tốt,,,,2.1,Low,0.0,No maintenance needed,Drone can continue operation under normal monitoring,,Live Test Flight,,DJI Mini 3,DJI,,,,,,,,10.41,OP_LIVE,2026-07-13 19:29:00,,,,,Đủ Điều Kiện Bay,,LIVE_20260713_192809 tick 5 — ✅ BAY TIẾP,,,Drone đủ điều kiện vận hành bình thường.
